key,event,time,press_duration,release_time,inter_key_interval,session_id
n,press,1736581545.263716,0.000997304916381836,1736581545.2647133,,1736581533
o,press,1736581545.5589275,0.0009958744049072266,1736581545.5599234,0.29421424865722656,1736581533
t,press,1736581545.9309323,0.0009961128234863281,1736581545.9319284,0.37100887298583984,1736581533
e,press,1736581546.0895138,0.0019893646240234375,1736581546.0915031,0.15758538246154785,1736581533
d,press,1736581553.2911997,0.0009975433349609375,1736581553.2921972,7.1996965408325195,1736581533
a,press,1736581553.3031669,0.0009982585906982422,1736581553.3041651,0.01096963882446289,1736581533
f,press,1736581553.3041651,0.000997304916381836,1736581553.3051624,0.0,1736581533
d,press,1736581553.4487796,0.0009958744049072266,1736581553.4497755,0.1436171531677246,1736581533
g,press,1736581553.4936619,0.004982948303222656,1736581553.4986448,0.043886423110961914,1736581533
s,press,1736581553.5933912,0.0019948482513427734,1736581553.595386,0.09474635124206543,1736581533
a,press,1736581553.6003737,0.000997304916381836,1736581553.601371,0.0049877166748046875,1736581533
h,press,1736581553.62032,0.0019941329956054688,1736581553.6223142,0.018949031829833984,1736581533
d,press,1736581553.693124,0.0019948482513427734,1736581553.695119,0.07080984115600586,1736581533
s,press,1736581553.8487086,0.0009968280792236328,1736581553.8497055,0.15358972549438477,1736581533
a,press,1736581553.8517036,0.0009949207305908203,1736581553.8526986,0.0019981861114501953,1736581533
h,press,1736581553.9005694,0.0009980201721191406,1736581553.9015675,0.04787087440490723,1736581533
g,press,1736581553.9045596,0.0009961128234863281,1736581553.9055557,0.0029921531677246094,1736581533
d,press,1736581553.9773648,0.001993417739868164,1736581553.9793582,0.07180905342102051,1736581533
h,press,1736581554.0770977,0.0009982585906982422,1736581554.078096,0.09773945808410645,1736581533
g,press,1736581554.0800898,0.0009963512420654297,1736581554.0810862,0.001993894577026367,1736581533
a,press,1736581554.093056,0.0019931793212890625,1736581554.0950491,0.011969804763793945,1736581533
s,press,1736581554.0960472,0.000997781753540039,1736581554.097045,0.0009980201721191406,1736581533
d,press,1736581554.1578815,0.003988504409790039,1736581554.16187,0.0608365535736084,1736581533
g,press,1736581554.2266984,0.000997781753540039,1736581554.2276962,0.06482839584350586,1736581533
s,press,1736581554.3563507,0.0009968280792236328,1736581554.3573475,0.12865447998046875,1736581533
a,press,1736581554.3593419,0.000997304916381836,1736581554.3603392,0.0019943714141845703,1736581533
g,press,1736581554.3852737,0.0009961128234863281,1736581554.3862698,0.02493453025817871,1736581533
d,press,1736581554.448105,0.0009970664978027344,1736581554.4491022,0.061835289001464844,1736581533
g,press,1736581554.5767605,0.000997781753540039,1736581554.5777583,0.12765836715698242,1736581533
y,press,1736581554.5797524,0.000997304916381836,1736581554.5807498,0.0019941329956054688,1736581533
a,press,1736581554.6675181,0.0009975433349609375,1736581554.6685157,0.08676838874816895,1736581533
h,press,1736581554.726361,0.002991199493408203,1736581554.7293522,0.057845354080200195,1736581533
