event,x,y,speed,button,time,scroll,session_id
move,1380,149,0,,1736580537.4088936,,1736580537
move,1380,150,20.888696319094787,,1736580537.4567664,,1736580537
move,1380,151,6.266711888109798,,1736580537.6163397,,1736580537
move,1379,151,52.775136835482854,,1736580537.636286,,1736580537
move,1379,152,10.781357879665736,,1736580537.7280407,,1736580537
move,1379,153,6.266730614361038,,1736580537.8876135,,1736580537
move,1379,156,27.09930522951547,,1736580537.9983175,,1736580537
move,1379,157,5.5704133414612444,,1736580538.1788344,,1736580537
move,1379,158,5.277228158778449,,1736580538.368327,,1736580537
move,1379,160,4.599436132893674,,1736580538.8021667,,1736580537
move,1378,161,1.9129465160197094,,1736580539.5424495,,1736580537
move,1375,161,14.256044104201388,,1736580539.7518892,,1736580537
move,1377,161,35.181653854057885,,1736580539.8097363,,1736580537
move,1377,162,91.13495426199944,,1736580539.8197098,,1736580537
move,1377,163,2.393025697202063,,1736580540.2385879,,1736580537
move,1375,163,2005.8842659014826,,1736580540.2395852,,1736580537
move,1375,166,35.80855677672356,,1736580540.3233607,,1736580537
move,1375,167,3.7837176616623696,,1736580540.586657,,1736580537
move,1375,168,19.282383229128357,,1736580540.6385179,,1736580537
move,1375,169,1.8602360563370286,,1736580541.1770785,,1736580537
move,1374,169,18.23198233442874,,1736580541.231932,,1736580537
move,1374,170,45.572428180277285,,1736580541.2528758,,1736580537
move,1374,172,6.7520631821097785,,1736580541.5490816,,1736580537
move,1373,173,36.35831904033076,,1736580541.5879781,,1736580537
move,1372,174,0.37513093388807767,,1736580545.358891,,1736580537
move,1371,174,0.529116785927977,,1736580547.24784,,1736580537
move,1372,173,19.971924489697685,,1736580547.31865,,1736580537
move,1389,164,19310.447178411767,,1736580547.3196461,,1736580537
move,1413,153,5292.396074054424,,1736580547.3256297,,1736580537
move,1438,143,1800.0492740853904,,1736580547.3405893,,1736580537
move,1461,136,12054.740851855024,,1736580547.3415873,,1736580537
move,1477,129,1167.3551811532109,,1736580547.3565478,,1736580537
move,1488,122,933.6081919199362,,1736580547.3705134,,1736580537
move,1489,112,10113.29978818854,,1736580547.3725042,,1736580537
move,1486,104,4284.570670133943,,1736580547.3735013,,1736580537
move,1448,78,824.3877884857015,,1736580547.429353,,1736580537
move,1437,72,42.73281176345875,,1736580547.7235653,,1736580537
