event,x,y,speed,button,time,scroll,session_id
move,1171,523,0,,1736412742.519608,,1736412742
move,1170,524,860.9058928179568,,1736412742.5212507,,1736412742
move,1168,525,2093.0035399016465,,1736412742.522319,,1736412742
move,1166,528,0,,1736412742.5238824,,1736412742
move,1164,530,1038.4526613297833,,1736412742.5250428,,1736412742
move,1162,532,4134.988917055227,,1736412742.5267646,,1736412742
move,1159,535,4087.968023098361,,1736412742.5283291,,1736412742
move,1158,536,903.9380678932829,,1736412742.5283291,,1736412742
move,1157,538,1435.596029741203,,1736412742.5298867,,1736412742
move,1154,541,2699.8823857604557,,1736412742.5314581,,1736412742
move,1151,542,3138.5598294261417,,1736412742.5324657,,1736412742
move,1150,544,1475.5740815448833,,1736412742.533981,,1736412742
move,1147,546,0,,1736412742.533981,,1736412742
move,1144,549,2696.2007279616914,,1736412742.5355546,,1736412742
move,1143,550,899.4149509500717,,1736412742.537127,,1736412742
move,1141,553,2274.4439971249376,,1736412742.5387123,,1736412742
move,1139,555,0,,1736412742.5387123,,1736412742
move,1135,558,3199.316552250191,,1736412742.540275,,1736412742
move,1133,561,2113.3004663057172,,1736412742.5419812,,1736412742
move,1131,562,2155.0433966680325,,1736412742.5430188,,1736412742
move,1129,565,2243.7356286177614,,1736412742.5446258,,1736412742
move,1127,568,0,,1736412742.5446258,,1736412742
move,1124,571,2789.1731668569223,,1736412742.5461469,,1736412742
move,1121,574,2676.3309978263146,,1736412742.547732,,1736412742
move,1115,581,7293.3934732933585,,1736412742.5489962,,1736412742
move,1114,585,0,,1736412742.550517,,1736412742
move,1111,588,2789.6104098678734,,1736412742.55209,,1736412742
move,1108,591,2697.426831066722,,1736412742.55209,,1736412742
move,1107,593,1398.3522979423406,,1736412742.553689,,1736412742
move,1104,598,0,,1736412742.553689,,1736412742
move,1102,601,2286.1342610557385,,1736412742.5552661,,1736412742
move,1100,603,1724.0638283725395,,1736412742.5569067,,1736412742
move,1098,606,0,,1736412742.5569067,,1736412742
move,1097,611,3216.54954759216,,1736412742.558492,,1736412742
move,1094,613,1707.052504445616,,1736412742.560604,,1736412742
move,1092,618,6314.514478955403,,1736412742.561457,,1736412742
